Numer uchwały,Beneficjent,Koszt,Nazwa projektu,Data uchwały
73,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,36000.0,"""Promocja Juwenaliów Krakowskich""",3 maja 2022
74,Stowarzyszeniu Europejskie Forum Studentów AEGEE,3500.0,"""Local Training Course Freshmen s Sur i al FRESH """,3 maja 2022
75,WRSS WZiKS,1023.35,"""Studiuj z głową Wziksowy uiz dydaktyczny""",4 maja 2022
76,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,6298.37,"""Ju wenaliowa Gra Miejska""",9 maja 2022
77,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,166513.0,"""Juwenalia Krakowskie 2022""",9 maja 2022
78,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,8000.0,"""Juwenaliowy B4""",9 maja 2022
79,WRSS WP,3441.0,"""Identyfikacja wizualna przestrzeni studenckiej na Wydziale Polonistyki UJ (etap II)""",9 maja 2022
80,WRSS WP,2746.0,"""Wyposażenie Strefy Studenckiej na Wydziale Polonistyki""",9 maja 2022
81,Stowarzyszeniu Erasmus Student Network UJ Kraków,3024.0,"""Aerial Silks Workshops with ESN UJ Cracow""",9 maja 2022
82,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,4909.0,"""Episode One The One with an International Party""",9 maja 2022
83,Przewodniczącemu Uczelnianej Komisji Ekonomicznej Samorządu Studentów Uniwersytetu Jagiellońskiego,1450.0,"""Wyjazd integracyjny UKE""",9 maja 2022
84,WRSS WZiKS,3214.9,"""Tajemnice kampusu letnia gra terenowa""",16 maja 2022
85,WRSS Filologia,606.0,"""Co wiesz o herbacie Między narodowy Dzień Herbaty z WRSS""",16 maja 2022
86,WRSS WP,923.0,"""Poetyckie Wymiary""",16 maja 2022
87,WRSS WP,4871.0,"""Zamó wienie gadżetów WRSS Wydziału Polonistyki""",16 maja 2022
88,Stowarzyszeniu All in UJ,7748.05,"""Tydzień Edukacji Seksualnej 2022""",16 maja 2022
89,Stowarzyszeniu All in UJ,1428.0,"""Studencki Stand UP by All In UJ""",16 maja 2022
90,Radzie Mieszkańców Domu Studenckiego Piast,14889.0,"""Piasto Bydgonalia 2022""",16 maja 2022
91,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,6880.0,"""Wyjazd szkoleniowo integracyjny Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego""",16 maja 2022
92,WRSS WZiKS,7325.29,"""Równy WZiKS""",16 maja 2022
93,Stowarzyszeniu TęczUJ,2102.5,"""Jesteśmy Sytuacja osób LGBT na uniwersytetach w Polsce""",16 maja 2022
94,Radzie Mieszkańców DS Bursa Jagiellońska,1929.43,"""Bursonalia 2022 """,16 maja 2022
95,WRSS WP,750.0,"""Spotkanie ewaluacyjno integracyjne WRSS Wydziału Polonistyki""",23 maja 2022
96,WRSS Filologia,2000.0,"""Wieczorek Francuski""",23 maja 2022
97,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,5500.0,"""SlamUJ""",23 maja 2022
98,WRSS WZiKS,5700.0,"""Nie leć w kulki, chodź na paintball """,31 maja 2022
